cluster,x,y
0,-92.2568,14.5623
0,-91.4724,17.0841
0,-99.4697,19.0181
0,-99.3321,19.4815
0,-100.7468,20.6725
0,-79.0333,9.5167
0,-97.477,35.1412
0,-97.0384,37.062
0,-93.5761,44.5433
0,-89.2853,32.4513
0,-86.7792,36.0251
0,-86.1155,40.8223
0,-78.2181,39.0834
0,-78.4067,36.3082
0,-73.9976,40.8482
0,-72.6779,40.8812
0,-122.1018,47.9934
0,-122.5255,37.9044
1,29.9419,-0.8411
1,35.0062,1.0157
1,35.5888,6.9986
1,32.1833,12.35
1,38.8783,15.5091
1,34.6333,-11.0833
1,28.7425,-25.8102
1,27.152,-23.1072
1,22.7167,-20.4667
1,21.2572,-34.0934
1,7.0186,8.8835
1,8.3554,8.3931
1,5.2,9.4333
1,4.0498,7.3772
1,7.9337,11.916
1,10.4707,2.0164
1,50.315,33.2205
1,15.0448,40.2263
1,15.3237,40.1516
1,20.4144,43.7467
1,14.3011,50.6611
1,12.2237,52.8856
1,12.251,45.9139
1,19.4933,51.1689
1,7.5169,50.623
1,6.4943,45.862
1,1.3519,43.4798
1,3.6912,36.1477
1,2.4475,36.5897
1,-1.0924,35.3914
1,-5.2733,34.6745
1,-5.1501,42.0328
1,-6.4003,40.7058
1,-3.3239,39.9019
1,-2.3333,53.35
1,-2.9167,51.9333
1,-0.4896,53.8195
1,-0.2355,51.9327
1,26.1047,35.2078
2,82.6712,53.5044
2,73.6758,42.8247
2,81.1075,26.7679
2,115.9667,-32.0333
2,115.9667,-31.8833
2,115.8126,-32.0332
2,116.4752,-32.8007
2,117.1465,-20.7723
2,107.5368,-7.4035
2,105.7007,-6.7454
2,111.2145,-6.7089
2,101.1556,19.1503
2,103.831,25.7572
2,113.3,25.3722
2,117.9856,26.9609
2,110.3255,19.4429
2,109.9603,20.898
2,113.5469,31.2294
2,110.8289,30.9357
2,116.1376,39.728
2,116.4336,40.025
2,122.0171,11.7403
2,123.09,10.9329
2,120.9051,15.0292
2,98.339,7.8447
2,152.7502,-27.6423
2,152.8601,-27.6128
2,153.1532,-27.4919
2,153.4307,-29.1178
2,152.5625,-25.1083
2,150.4857,-34.401
2,150.5366,-34.7381
2,150.9154,-33.6821
2,151.0078,-33.8229
2,151.069,-34.0383
2,151.1509,-33.6208
2,147.151,-41.4384
2,145.5565,-42.0805
2,144.7666,-37.7672
2,138.5433,-35.2189
2,138.9283,-33.6717
3,-55.5809,-27.3674
3,-57.8809,-36.8627
